episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
204443304833404789,200,-259.04,-78.98,-61.74,-54.23,-64.09
727595686286807652,200,-239.0299999999999,-81.83,-61.73,-33.07,-62.4
861717569790595507,200,-72.14000000000004,-21.56,-21.15,-12.79,-16.64
989178252097811414,200,-423.1399999999999,-100.48,-111.42,-116.11,-95.13
818286945117052,200,-121.30000000000001,-33.7,-44.46,-25.1,-18.04
808868855459965697,200,-53.85,-12.33,-20.4,-14.83,-6.29
157854572940674185,200,-119.98000000000002,-28.42,-31.27,-29.94,-30.35
117602135255580900,200,-343.9799999999999,-92.74,-76.4,-87.16,-87.68
307826250334084226,200,-350.40999999999985,-81.67,-91.43,-85.53,-91.78
131107072236008018,200,-9.609999999999998,-3.68,-0.97,-3.0100000000000007,-1.95
273088544377799508,200,-21.440000000000033,-13.5,-0.46,-3.57,-3.91
146043375326275046,200,-14.990000000000014,-2.18,-3.509999999999998,-5.6,-3.7
317802768258001002,200,-273.56000000000023,-66.45,-86.95,-71.56,-48.6
622577263264788112,200,-96.29000000000013,-36.38,-15.77,-30.08,-14.06
226459549989864325,200,-181.19999999999993,-65.65,-38.09,-44.69,-32.77
897900883683539754,200,-216.24000000000004,-58.59,-55.61,-42.29,-59.75
629667737026218090,200,-466.6399999999997,-135.56,-108.36,-116.7,-106.02
438757790767937963,200,-142.46999999999997,-37.43,-29.92,-37.48,-37.64
786119619605099396,200,-26.19999999999998,-8.31,-6.16,-8.64,-3.09
590974523048622001,200,-58.28000000000001,-13.14,-18.92,-17.6,-8.619999999999997
623296867097880796,200,-185.44999999999985,-61.14,-60.89,-34.44,-28.98
596792100041254599,200,-346.29000000000013,-87.93,-89.71,-80.02,-88.63
675297014727011449,200,-117.99999999999997,-25.92,-39.84,-25.65,-26.59
598871356892425676,200,-218.00999999999988,-56.22,-57.63,-55.44,-48.72
474935892634524367,200,-240.17000000000007,-51.83,-79.61,-62.1,-46.63
695189522412344597,200,-30.04999999999998,-10.31,-12.840000000000002,-5.610000000000001,-1.29
488918006246914315,200,-26.049999999999997,-2.87,-1.84,-19.89,-1.45
244076377034050733,200,-20.919999999999995,-1.23,-5.16,-12.58,-1.9500000000000004
683651946970761850,200,-27.92000000000005,-6.13,-9.42,-7.22,-5.15
672635615020009847,200,-7.5400000000000444,-3.74,-1.67,-1.2599999999999996,-0.8699999999999998
645810970297774179,200,-3.4399999999999906,-0.6400000000000001,-2.0399999999999996,-0.6,-0.16
373498898106980384,200,-26.090000000000007,-5.1,-6.81,-8.48,-5.7
210140213114672337,200,-44.46999999999999,-12.249999999999998,-16.32,-7.33,-8.57
231364861487934196,200,-49.20999999999998,-14.23,-15.0,-12.93,-7.05
115392263582795189,200,-7.830000000000009,-3.48,-0.92,-1.08,-2.35
462801558757834723,200,-29.399999999999974,-13.46,-2.91,-9.5,-3.53
229931218041345882,200,-9.850000000000003,-3.7,-2.4,-0.4,-3.35
676820443977866326,200,-86.87000000000002,-23.65,-21.46,-21.8,-19.96
973742534281627310,200,-99.02,-19.72,-25.02,-36.06,-18.22
366444119333681626,200,-53.54000000000001,-9.64,-17.99,-14.9,-11.01
881102372944937666,200,-11.059999999999993,-4.84,-4.16,-1.41,-0.65
633309598133567964,200,-8.210000000000012,-4.45,-0.6299999999999998,-2.6,-0.53
138323599257765579,200,-237.47000000000014,-50.19,-67.84,-65.04,-54.4
966634028783087517,200,-24.649999999999967,-7.16,-13.76,-3.73,2.220446049250313e-16
127259870606502127,200,-12.500000000000009,-5.21,-1.8699999999999992,-2.59,-2.83
2842351331616169,200,-288.4100000000002,-67.26,-76.94,-92.41,-51.8
167623731351567003,200,-29.599999999999987,-24.96,-0.69,-0.96,-2.990000000000001
846621251275558791,200,-3.420000000000003,-1.510000000000001,-0.67,-1.22,-0.019999999999999976
452738986965584149,200,-102.26000000000005,-22.97,-38.97,-19.8,-20.52
425951221799383101,200,-12.379999999999995,-1.09,-7.82,-1.57,-1.9
588677605330824283,200,-8.910000000000007,-2.82,-3.35,-1.1799999999999997,-1.56
757464731574609460,200,-9.020000000000003,-1.43,-0.25,-0.8800000000000002,-6.459999999999999
168109203564605518,200,-277.86,-65.83,-73.75,-65.46,-72.82
563297891162234630,200,-5.530000000000004,-1.5799999999999983,-0.48,-3.47,0.0
865537410375022025,200,-10.85,-5.299999999999999,-4.25,-0.91,-0.39
